POSTLEITZAHL,ORTBEZ27,ORTBEZ18
2713,Bellelay,Bellelay
2720,Tramelan,Tramelan
2723,Mont-Tramelan,Mont-Tramelan
2732,Loveresse,Loveresse
2742,Perrefitte,Perrefitte
2743,Eschert,Eschert
2746,Crémines,Crémines
2747,Corcelles BE,Corcelles BE
2762,Roches BE,Roches BE
3000,Bern,Bern
3000,Bern 8,Bern 8
3000,Bern Fischermätteli,Bern Fischermätt.
3000,Bern Spitalacker,Bern Spitalacker
3003,Bern,Bern
3004,Bern,Bern
3006,Bern,Bern
3008,Bern,Bern
3012,Bern,Bern
3013,Bern,Bern
3015,Bern,Bern
3019,Bern,Bern
3020,Bern,Bern
3027,Bern,Bern
3095,Spiegel b. Bern,Spiegel b. Bern
3034,Murzelen,Murzelen
3037,Herrenschwanden,Herrenschwanden
3049,Säriswil,Säriswil
3045,Meikirch,Meikirch
3047,Bremgarten b. Bern,Bremgarten b. Bern
3052,Zollikofen,Zollikofen
3053,Münchenbuchsee,Münchenbuchsee
3065,Bolligen,Bolligen
3065,Bolligen Dorf,Bolligen Dorf
3072,Ostermundigen,Ostermundigen
3074,Muri b. Bern,Muri b. Bern
3076,Worb,Worb
3083,Trimstein,Trimstein
3084,Wabern,Wabern
3087,Niedermuhlern,Niedermuhlern
3088,Rüeggisberg,Rüeggisberg
3097,Liebefeld,Liebefeld
3098,Köniz,Köniz
3099,Rüti b. Riggisberg,Rüti b. Riggisberg
3123,Belp,Belp
3127,Mühlethurnen,Mühlethurnen
3661,Uetendorf,Uetendorf
3155,Helgisried-Rohrbach,Helgisried
3157,Milken,Milken
3158,Guggisberg,Guggisberg
3159,Riedstätt,Riedstätt
3179,Kriechenwil,Kriechenwil
3183,Albligen,Albligen
3202,Frauenkappelen,Frauenkappelen
3207,Wileroltigen,Wileroltigen
3208,Gurbrü,Gurbrü
3226,Treiten,Treiten
3235,Erlach,Erlach
3250,Lyss,Lyss
3251,Wengi b. Büren,Wengi b. Büren
3252,Worben,Worben
3255,Rapperswil BE,Rapperswil BE
3257,Grossaffoltern,Grossaffoltern
3264,Diessbach b. Büren,Diessbach b. Büren
3267,Seedorf BE,Seedorf BE
3271,Radelfingen b. Aarberg,Radelfingen
3283,Kallnach,Kallnach
3296,Arch,Arch
3298,Oberwil b. Büren,Oberwil b. Büren
3303,Jegenstorf,Jegenstorf
3308,Grafenried,Grafenried
3321,Schönbühl Einkaufszentrum,Schönbühl EKZ
3323,Bäriswil BE,Bäriswil BE
3326,Krauchthal,Krauchthal
3317,Mülchi,Mülchi
3429,Höchstetten-Hellsau,Höchstetten-Hells
3376,Graben,Graben
3415,Hasle-Rüegsau,Hasle-Rüegsau
3422,Alchenflüh,Alchenflüh
3424,Niederösch,Niederösch
3425,Koppigen,Koppigen
3426,Aefligen,Aefligen
3428,Wiler b. Utzenstorf,Wiler b.Utzenstorf
3433,Schwanden im Emmental,Schwanden i. E.
3439,Ranflüh,Ranflüh
3452,Grünenmatt,Grünenmatt
3453,Heimisbach,Heimisbach
3455,Grünen,Grünen
3474,Rüedisbach,Rüedisbach
3504,Niederhünigen,Niederhünigen
3506,Grosshöchstetten,Grosshöchstetten
3508,Arni BE,Arni BE
3513,Bigenthal,Bigenthal
3672,Aeschlen b. Oberdiessbach,Aeschlen
3531,Oberthal,Oberthal
3534,Signau,Signau
3536,Aeschau,Aeschau
3537,Eggiwil,Eggiwil
3543,Emmenmatt,Emmenmatt
3551,Oberfrittenbach,Oberfrittenbach
3556,Trub,Trub
3557,Fankhaus (Trub),Fankhaus (Trub)
3604,Thun,Thun
3607,Thun,Thun
3631,Höfen b. Thun,Höfen b. Thun
3612,Steffisburg,Steffisburg
3613,Steffisburg,Steffisburg
3624,Goldiwil (Thun),Goldiwil (Thun)
3627,Heimberg,Heimberg
3633,Amsoldingen,Amsoldingen
3634,Thierachern,Thierachern
3638,Pohlern,Pohlern
3645,Gwatt (Thun),Gwatt (Thun)
3652,Hilterfingen,Hilterfingen
3653,Oberhofen am Thunersee,Oberhofen Thun'see
3656,Tschingel ob Gunten,Tschingel
3657,Schwanden (Sigriswil),Schwanden Sigrisw
3658,Merligen,Merligen
3700,Spiez,Spiez
3703,Aeschiried,Aeschiried
3704,Krattigen,Krattigen
3705,Faulensee,Faulensee
3714,Wengi b. Frutigen,Wengi b. Frutigen
3723,Kiental,Kiental
3756,Zwischenflüh,Zwischenflüh
3757,Schwenden im Diemtigtal,Schwenden
3763,Därstetten,Därstetten
3766,Boltigen,Boltigen
3772,St. Stephan,St. Stephan
3777,Saanenmöser,Saanenmöser
3781,Turbach,Turbach
3782,Lauenen b. Gstaad,Lauenen b. Gstaad
3783,Grund b. Gstaad,Grund b. Gstaad
3785,Gsteig b. Gstaad,Gsteig b. Gstaad
3792,Saanen,Saanen
3800,Interlaken,Interlaken
3800,Matten b. Interlaken,Matten b. Interl
3807,Iseltwald,Iseltwald
3816,Burglauenen,Burglauenen
3824,Stechelberg,Stechelberg
3852,Ringgenberg BE,Ringgenberg BE
3856,Brienzwiler,Brienzwiler
3860,Rosenlaui,Rosenlaui
3862,Innertkirchen,Innertkirchen
3863,Gadmen,Gadmen
4538,Oberbipp,Oberbipp
3377,Walliswil b. Wangen,Walliswil b.Wangen
4900,Langenthal,Langenthal
4900,Langenthal 1,Langenthal 1
4914,Roggwil BE,Roggwil BE
4917,Melchnau,Melchnau
4934,Madiswil,Madiswil
4935,Leimiswil,Leimiswil
4943,Oeschenbach,Oeschenbach
6085,Hasliberg Goldern,Hasliberg Goldern
6197,Schangnau,Schangnau
3113,Rubigen,Rubigen
3800,Sundlauenen,Sundlauenen
3044,Innerberg,Innerberg
3700,Spiezwiler,Spiezwiler
2735,Champoz,Champoz
2556,Schwadernau,Schwadernau
4932,Gutenburg,Gutenburg
3294,Meienried,Meienried
3429,Höchstetten,Höchstetten
2577,Finsterhennen,Finsterhennen
3303,Ballmoos,Ballmoos
3053,Diemerswil,Diemerswil
3251,Ruppoldsried,Ruppoldsried
3053,Wiggiswil,Wiggiswil
3532,Mirchel,Mirchel
3629,Oppligen,Oppligen
3086,Englisberg,Englisberg
3623,Horrenbach,Horrenbach
3624,Schwendibach,Schwendibach
3645,Zwieselberg,Zwieselberg
3367,Ochlenberg,Ochlenberg
2735,Malleray,Malleray
4922,Thunstetten,Thunstetten
3000,Bern Radio Schweiz,Bern Radio Schweiz
3050,Bern Swisscom,Bern Swisscom
2510,Biel/Bienne Dist Ba,Biel/Bienne DistBa
3123,Belp Zustellung,Belp Zustellung
4950,Huttwil Zustellung,Huttwil Zustellung
3800,Interlaken Zustellung,Interlaken Zust
4900,Langenthal 1 Zustellung,Langenthal 1 Zust
3322,Urtenen-Schönbühl Zust,Urtenen-S Zust
3550,Langnau i. E. Zustellung,Langnau i. E. Zust
3150,Schwarzenburg Zustellung,Schwarzenburg Zust
3294,Büren an der Aare Zust,Büren a.A. Zust
3860,Meiringen Zustellung,Meiringen Zust
3815,Gündlischwand,Gündlischwand
3860,Schattenhalb,Schattenhalb
3623,Buchen BE,Buchen BE
3537,Eggiwil Zustellung,Eggiwil Zustellung
3818,Grindelwald Zustellung,Grindelwald Zust
3053,Lätti,Lätti
3256,Seewil,Seewil
3085,Wabern 2 x Weihnachten,Wabern Weihnachten
3823,Kleine Scheidegg,Kleine Scheidegg
3823,Eigergletscher,Eigergletscher
3000,Bern Brünnen,Bern Brünnen
3206,Ferenbalm,Ferenbalm
3206,Biberen,Biberen
3030,Bern KC PK 5,Bern KC PK 5
3030,Bern PL3,Bern PL3
4704,Niederbipp PL3,Niederbipp PL3
3052,Zollikofen Waldstrasse,Zollikofen Waldstr
3000,Bern Lorraine,Bern Lorraine
3400,Burgdorf Bahnhofstrasse,Burgdorf Bahnhof
3080,Ostermundigen CIRCLE,Ostermundigen CIRC
2500,Biel/Bienne Rennweg,Biel/Bienne Rennw.
3063,Ittigen Talgut-Zentrum,Ittigen Talgut-Z.
3073,Gümligen Füllerichstrasse,Gümligen Füllerich
3380,Wangen a.d.A. Bahnhofallee,Wangen B'hofallee
4914,Roggwil BE Dorfstrasse,Roggwil BE Dorfstr
4922,Bützberg Sperrgut HUB,Bützberg Sperrgut
3123,Belp Rubigenstrasse,Belp Rubigenstr
