rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_immoscout,url_homegate,url_flatfox
3.5,67.0,1190,990,2504,Südstrasse 36,Biel/Bienne,1998,True,False,True,False,False,False,False,False,False,17.76,340.0,19.14,True,True,False,1190_67.0_3.5_2504_Südstrasse36_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7070879,,
3.0,63.0,1150,950,2504,Südstrasse 36,Biel/Bienne,1998,True,False,True,False,False,False,False,False,False,18.25,383.33,21.0,True,True,False,1150_63.0_3.0_2504_Südstrasse36_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7070878,,
3.0,62.0,1170,970,2504,Südstrasse 38-46,Biel/Bienne,1998,True,False,True,False,False,False,False,False,False,18.87,390.0,20.67,True,True,False,1170_62.0_3.0_2504_Südstrasse38-46_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/6923731,,
3.5,67.0,1220,990,2504,Schollstrasse 19,Biel/Bienne,1998,True,False,True,False,False,False,False,False,False,18.21,348.57,19.14,True,True,False,1220_67.0_3.5_2504_Schollstrasse19_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/6796676,,
3.0,62.0,1130,930,2504,Schollstr. 3-13,Biel/Bienne,1998,True,False,True,False,False,False,False,False,False,18.23,376.67,20.67,True,True,False,1130_62.0_3.0_2504_Schollstr.3-13_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/6747083,,
2.5,61.0,1115,935,2504,Südstrasse 38-46,Biel/Bienne,1998,True,False,True,False,False,False,False,False,False,18.28,446.0,24.4,True,True,False,1115_61.0_2.5_2504_Südstrasse38-46_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/6688641,,
2.5,54.0,2225,2045,3011,Gerberngasse 13,Bern,2015,False,False,False,False,False,False,False,True,True,41.2,890.0,21.6,True,False,False,2225_54.0_2.5_3011_Gerberngasse13_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/6943879,,
4.0,80.0,1250,1050,3183,Ueberstorfstrasse 4,Albligen,2019,True,False,False,False,False,False,False,False,True,15.62,312.5,20.0,False,False,False,1250_80.0_4.0_3183_Ueberstorfstrasse4_Albligen,https://www.immoscout24.ch/de/d/wohnung-mieten-albligen/7107723,,
3.5,89.0,2500,2200,3005,Florastrasse 5,Bern,0,True,False,False,False,False,False,False,True,True,28.09,714.29,25.43,True,True,False,2500_89.0_3.5_3005_Florastrasse5_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7107664,,
4.5,120.0,1550,1250,2710,Grand Rue 14,Tavannes,2022,True,False,False,False,False,False,False,False,True,12.92,344.44,26.67,False,False,False,1550_120.0_4.5_2710_GrandRue14_Tavannes,https://www.immoscout24.ch/de/d/wohnung-mieten-tavannes/7107539,,
2.5,70.0,1250,1050,2710,Grand Rue 14,Tavannes,2022,True,False,False,False,False,False,False,False,True,17.86,500.0,28.0,False,False,False,1250_70.0_2.5_2710_GrandRue14_Tavannes,https://www.immoscout24.ch/de/d/wohnung-mieten-tavannes/7107552,,
3.5,87.0,2650,2334,3066,Ferenbergstrasse 21,Stettlen,0,False,False,False,False,False,False,False,False,False,30.46,757.14,24.86,False,False,False,2650_87.0_3.5_3066_Ferenbergstrasse21_Stettlen,https://www.immoscout24.ch/de/d/wohnung-mieten-stettlen/6858167,,
3.0,65.0,1835,1660,3084,Gossetstrasse 17,Wabern,2017,True,False,False,False,True,False,False,False,True,28.23,611.67,21.67,True,True,False,1835_65.0_3.0_3084_Gossetstrasse17_Wabern,https://www.immoscout24.ch/de/d/wohnung-mieten-wabern/7107386,,
2.5,62.5,1180,980,4538,Weihergasse 29,Oberbipp,2018,True,True,True,False,True,True,False,True,True,18.88,472.0,25.0,True,True,False,1180_62.5_2.5_4538_Weihergasse29_Oberbipp,https://www.immoscout24.ch/de/d/wohnung-mieten-oberbipp/6901902,,
2.0,45.0,1170,1050,3700,19A,Spiez,0,True,False,False,False,False,False,False,False,False,26.0,585.0,22.5,True,False,False,1170_45.0_2.0_3700_19A_Spiez,https://www.immoscout24.ch/de/d/dachwohnung-mieten-spiez/7107382,,
2.5,62.5,1280,1100,2504,Mettstrasse 126,Biel/Bienne,0,False,False,False,False,False,False,False,False,False,20.48,512.0,25.0,False,False,False,1280_62.5_2.5_2504_Mettstrasse126_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/6976530,,
2.5,62.5,1390,1290,3008,Freiburgstrasse 68,Bern,0,True,False,False,False,False,False,False,False,False,22.24,556.0,25.0,False,True,False,1390_62.5_2.5_3008_Freiburgstrasse68_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/6963683,,
6.0,190.0,2260,1900,4953,Bernstrasse 74,Schwarzenbach (Huttwil),0,True,True,False,True,False,False,False,True,True,11.89,376.67,31.67,False,True,False,2260_190.0_6.0_4953_Bernstrasse74_Schwarzenbach(Huttwil),https://www.immoscout24.ch/de/d/duplex--maisonette-wohnung-mieten-schwarzenbach-huttwil/7107243,,
3.0,75.0,1300,1080,2502,Diamanstrasse 3,Biel/Bienne,0,False,False,False,False,False,False,False,False,False,17.33,433.33,25.0,False,True,False,1300_75.0_3.0_2502_Diamanstrasse3_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/6055785,,
3.0,67.0,1360,1200,3123,Gurtenweg  1,Belp,1955,True,False,False,True,False,False,False,False,False,20.3,453.33,22.33,True,True,False,1360_67.0_3.0_3123_Gurtenweg1_Belp,https://www.immoscout24.ch/de/d/wohnung-mieten-belp/7106370,,
4.0,74.0,1300,1050,3400,Steinhofstr. 53,Burgdorf,1963,True,True,False,True,False,False,False,False,False,17.57,325.0,18.5,True,True,False,1300_74.0_4.0_3400_Steinhofstr.53_Burgdorf,https://www.immoscout24.ch/de/d/wohnung-mieten-burgdorf/7079446,,
4.5,93.0,1530,1270,2555,Gartenweg 3,Brügg BE,1986,False,False,False,False,False,False,False,False,False,16.45,340.0,20.67,False,True,True,1530_93.0_4.5_2555_Gartenweg3_BrüggBE,https://www.immoscout24.ch/de/d/wohnung-mieten-bruegg-be/7099485,,
3.5,76.0,1550,1320,3075,Breitfeldstrasse 3b,Rüfenacht BE,1967,True,False,False,False,False,False,False,False,False,20.39,442.86,21.71,False,True,False,1550_76.0_3.5_3075_Breitfeldstrasse3b_RüfenachtBE,https://www.immoscout24.ch/de/d/wohnung-mieten-ruefenacht-be/6451206,,
3.5,104.0,3000,2700,3095,Schweizerhausweg 4,Spiegel b. Bern,0,True,False,False,False,False,False,True,True,True,28.85,857.14,29.71,False,True,False,3000_104.0_3.5_3095_Schweizerhausweg4_Spiegelb.Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-spiegel-b-bern/7106679,,
4.0,100.0,1900,1800,3645,Gwattstutz 46,Gwatt (Thun),2022,True,False,False,False,False,False,False,False,False,19.0,475.0,25.0,False,False,False,1900_100.0_4.0_3645_Gwattstutz46_Gwatt(Thun),https://www.immoscout24.ch/de/d/reihen-einfamilienhaus-mieten-gwatt-thun/7106702,,
3.5,87.5,1330,1100,3436,Buchrainstutz 1,Zollbrück,0,True,False,False,True,False,False,False,False,True,15.2,380.0,25.0,False,False,False,1330_87.5_3.5_3436_Buchrainstutz1_Zollbrück,https://www.immoscout24.ch/de/d/wohnung-mieten-zollbrueck/7106703,,
3.5,86.0,1670,1490,3235,Insstrasse 22,Erlach,2012,True,False,False,True,False,False,True,False,True,19.42,477.14,24.57,False,False,False,1670_86.0_3.5_3235_Insstrasse22_Erlach,https://www.immoscout24.ch/de/d/dachwohnung-mieten-erlach/4330349,,
4.5,81.0,1520,1270,3225,Reiterweg 12,Müntschemier,2022,True,True,False,True,False,False,False,False,True,18.77,337.78,18.0,False,False,False,1520_81.0_4.5_3225_Reiterweg12_Müntschemier,https://www.immoscout24.ch/de/d/wohnung-mieten-muentschemier/7106659,,
