rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_flatfox
4.0,83.0,1420,1180,4914,Platanenweg 9,Roggwil BE,2019,True,True,False,True,False,False,False,False,True,17.11,355.0,20.75,False,True,False,1420_83.0_4.0_4914_Platanenweg9_Roggwil BE,https://flatfox.ch/de/wohnung/platanenweg-9-4914-roggwil-be/552861/
5.5,130.0,2040,1800,3507,Rohrstrasse 2a,Biglen,2015,True,False,False,False,False,False,False,False,True,15.69,370.91,23.64,False,True,False,2040_130.0_5.5_3507_Rohrstrasse2a_Biglen,https://flatfox.ch/de/wohnung/rohrstrasse-2a-3507-biglen/475181/
4.5,95.0,2550,2250,3014,Morgartenstrasse 15,Bern,2022,True,False,True,False,False,False,False,False,False,26.84,566.67,21.11,False,True,False,2550_95.0_4.5_3014_Morgartenstrasse15_Bern,https://flatfox.ch/de/wohnung/morgartenstrasse-15-3014-bern/603528/
4.5,112.5,1800,1550,3454,Haselacker 2,Sumiswald,0,True,False,True,False,False,True,False,False,False,16.0,400.0,25.0,False,True,False,1800_112.5_4.5_3454_Haselacker2_Sumiswald,https://flatfox.ch/de/wohnung/haselacker-2-3454-sumiswald/570084/
3.5,90.0,2090,2360,3008,No information,Bern,0,True,True,True,True,False,False,False,False,False,23.22,597.14,25.71,False,False,False,2090_90.0_3.5_3008_Noinformation_Bern,https://flatfox.ch/de/wohnung/3008-bern/598457/
3.0,78.0,1820,1580,3510,Thunstrasse 19,Konolfingen,0,True,False,True,True,False,True,True,True,False,23.33,606.67,26.0,False,True,False,1820_78.0_3.0_3510_Thunstrasse19_Konolfingen,https://flatfox.ch/de/wohnung/thunstrasse-19-3510-konolfingen/359995/
2.0,47.0,1250,1050,3006,Ostring 77,Bern,1945,False,True,False,False,False,False,False,False,True,26.6,625.0,23.5,False,False,False,1250_47.0_2.0_3006_Ostring77_Bern,https://flatfox.ch/de/wohnung/ostring-77-3006-bern/602730/
3.5,77.0,1390,1190,3326,Hindelbankstrasse 4,Krauchthal,0,True,False,False,False,False,False,False,True,False,18.05,397.14,22.0,False,False,False,1390_77.0_3.5_3326_Hindelbankstrasse4_Krauchthal,https://flatfox.ch/de/wohnung/hindelbankstrasse-4-3326-krauchthal/570051/
3.5,69.0,1260,1020,2504,Poststrasse 36,Biel/Bienne,0,True,False,True,False,False,False,False,False,True,18.26,360.0,19.71,False,True,False,1260_69.0_3.5_2504_Poststrasse36_Biel/Bienne,https://flatfox.ch/de/wohnung/poststrasse-36-2504-bielbienne/556603/
4.5,105.0,2330,2090,2503,Alfred-Aebi-Strasse 92,Biel/Bienne,2016,True,True,False,False,False,False,False,False,False,22.19,517.78,23.33,False,True,False,2330_105.0_4.5_2503_Alfred-Aebi-Strasse92_Biel/Bienne,https://flatfox.ch/de/wohnung/alfred-aebi-strasse-92-2503-bielbienne/554418/
