rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_immoscout
6.5,150.0,2042,1742,3302,Unterweg 15,Moosseedorf,1985,True,True,False,False,False,False,False,False,True,13.61,314.15,23.08,False,False,False,2042_150.0_6.5_3302_Unterweg15_Moosseedorf,https://www.immoscout24.ch/de/d/wohnung-mieten-moosseedorf/7021755
1.0,25.0,980,860,3008,Effingerstrasse 85,Bern,0,True,False,True,False,False,False,False,False,True,39.2,980.0,25.0,False,True,False,980_25.0_1.0_3008_Effingerstrasse85_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7099267
3.0,75.0,1940,1740,3007,Pestalozzistrasse 24,Bern,0,True,True,False,False,False,False,False,False,True,25.87,646.67,25.0,False,True,False,1940_75.0_3.0_3007_Pestalozzistrasse24_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7099265
1.5,56.0,1175,1035,3256,Moos 14,Dieterswil,2018,False,False,False,True,False,False,False,False,False,20.98,783.33,37.33,True,False,False,1175_56.0_1.5_3256_Moos14_Dieterswil,https://www.immoscout24.ch/de/d/studio-mieten-dieterswil/6937520
2.5,57.0,1455,1310,3098,Muhlernstrasse 204 (Z3),Schliern b. Köniz,0,True,False,True,False,True,True,False,False,False,25.53,582.0,22.8,False,False,False,1455_57.0_2.5_3098_Muhlernstrasse204(Z3)_Schliernb.Köniz,https://www.immoscout24.ch/de/d/wohnung-mieten-schliern-b-koeniz/6754189
3.5,120.0,2070,1870,3425,St.Niklausstrasse 6,Koppigen,0,True,False,False,True,False,False,False,True,True,17.25,591.43,34.29,False,False,False,2070_120.0_3.5_3425_St.Niklausstrasse6_Koppigen,https://www.immoscout24.ch/de/d/wohnung-mieten-koppigen/2800790
2.5,62.5,1870,1650,3011,Gerechtigkeitsgasse 55,Bern,0,False,False,False,False,False,False,False,False,True,29.92,748.0,25.0,False,True,False,1870_62.5_2.5_3011_Gerechtigkeitsgasse55_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7083930
3.5,100.0,1730,1540,2502,Nidaugasse 37,Biel/Bienne,2016,False,True,True,False,False,False,False,True,True,17.3,494.29,28.57,False,False,False,1730_100.0_3.5_2502_Nidaugasse37_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7039138
4.5,107.0,2062,1642,3084,Funkstrasse 104,Wabern,0,True,False,True,True,False,False,False,False,True,19.27,458.22,23.78,False,False,False,2062_107.0_4.5_3084_Funkstrasse104_Wabern,https://www.immoscout24.ch/de/d/wohnung-mieten-wabern/7098246
3.0,75.0,1200,1057,3145,Haltenstrasse 151,Niederscherli,2022,True,True,False,False,False,False,False,False,True,16.0,400.0,25.0,False,False,False,1200_75.0_3.0_3145_Haltenstrasse151_Niederscherli,https://www.immoscout24.ch/de/d/wohnung-mieten-niederscherli/7098523
3.5,82.0,2510,2240,3072,Bernstrasse 25,Ostermundigen,2022,True,True,False,True,False,False,True,True,False,30.61,717.14,23.43,False,False,False,2510_82.0_3.5_3072_Bernstrasse25_Ostermundigen,https://www.immoscout24.ch/de/d/wohnung-mieten-ostermundigen/7098603
3.5,70.0,1330,1100,3613,Schlossstrasse 27,Steffisburg,0,True,False,False,False,False,False,False,False,True,19.0,380.0,20.0,False,False,False,1330_70.0_3.5_3613_Schlossstrasse27_Steffisburg,https://www.immoscout24.ch/de/d/wohnung-mieten-steffisburg/7097095
3.0,75.0,1250,1000,2503,Schmiedweg 32,Biel/Bienne,0,False,False,False,False,False,False,False,False,True,16.67,416.67,25.0,False,False,False,1250_75.0_3.0_2503_Schmiedweg32_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7098481
1.5,20.0,1240,1092,3007,Belpstrasse 23,Bern,0,False,False,True,False,False,False,False,False,True,62.0,826.67,13.33,False,False,False,1240_20.0_1.5_3007_Belpstrasse23_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7043410
4.5,107.0,2010,1740,3098,Froschweg 11,Schliern b. Köniz,2014,True,False,True,False,True,False,False,False,False,18.79,446.67,23.78,False,True,False,2010_107.0_4.5_3098_Froschweg11_Schliernb.Köniz,https://www.immoscout24.ch/de/d/wohnung-mieten-schliern-b-koeniz/7023373
2.0,50.0,1370,1220,3012,Beaulieustrasse 51,Bern,0,False,False,False,False,False,False,False,False,False,27.4,685.0,25.0,False,False,False,1370_50.0_2.0_3012_Beaulieustrasse51_Bern,https://www.immoscout24.ch/de/d/moebliertes-wohnobjekt-mieten-bern/7098244
4.5,112.5,1650,1370,3174,Freiburgstrasse 947,Thörishaus,2016,True,True,False,False,False,False,False,False,True,14.67,366.67,25.0,False,False,False,1650_112.5_4.5_3174_Freiburgstrasse947_Thörishaus,https://www.immoscout24.ch/de/d/wohnung-mieten-thoerishaus/5854005
4.5,90.0,1840,1560,3018,Schwabstrasse 80,Bern,2022,True,False,True,False,False,False,False,False,False,20.44,408.89,20.0,False,False,False,1840_90.0_4.5_3018_Schwabstrasse80_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7098242
3.5,83.0,1600,1450,3116,Vorderer Eggen 15,Noflen BE,0,True,False,False,True,False,False,False,False,True,19.28,457.14,23.71,False,False,False,1600_83.0_3.5_3116_VordererEggen15_NoflenBE,https://www.immoscout24.ch/de/d/wohnung-mieten-noflen-be/4734555
3.5,70.0,1270,1120,3122,Zimmerwaldstrasse 20,Kehrsatz,2016,True,True,False,True,False,False,False,False,True,18.14,362.86,20.0,False,False,False,1270_70.0_3.5_3122_Zimmerwaldstrasse20_Kehrsatz,https://www.immoscout24.ch/de/d/wohnung-mieten-kehrsatz/4254875
3.0,75.0,1295,1060,2502,Mittelstrasse 12,Biel/Bienne,2022,False,True,False,True,False,False,False,True,True,17.27,431.67,25.0,False,False,False,1295_75.0_3.0_2502_Mittelstrasse12_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/5829509
3.5,63.0,1150,950,3324,Innerhofweg 7,Hindelbank,0,True,False,False,True,False,False,False,True,True,18.25,328.57,18.0,False,True,False,1150_63.0_3.5_3324_Innerhofweg7_Hindelbank,https://www.immoscout24.ch/de/d/wohnung-mieten-hindelbank/7098157
